Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.026667,11.746181,1.245327,32.575000,30.979000,0.000000,1.056615,11.746181, 
0.027083,11.655100,1.094125,32.612000,31.012000,0.000000,1.056615,11.655100, 
0.027500,11.557575,0.937429,32.654000,31.050000,0.000000,1.056615,11.557575, 
0.027917,11.452864,0.775450,32.691000,31.083000,0.000000,1.056615,11.452864, 
0.028333,11.341286,0.607871,32.733000,31.120000,0.000000,1.056615,11.341286, 
0.028750,11.223473,0.435325,32.775000,31.154000,0.000000,1.056615,11.223473, 
0.029167,11.098687,0.258237,32.812000,31.187000,0.000000,1.056615,11.098687, 
0.029583,10.967772,0.075865,32.854000,31.220000,0.000000,1.056615,10.967772, 
0.030000,10.830306,-0.110205,32.891000,31.258000,0.000000,1.056615,10.830306, 
0.030417,10.687346,-0.301030,32.933000,31.291000,0.000000,1.056615,10.687346, 
0.030833,10.537835,-0.495024,32.970000,31.329000,0.000000,1.056615,10.537835, 
0.031250,10.382724,-0.693351,33.012000,31.362000,0.000000,1.056615,10.382724, 
0.031667,10.221802,-0.894953,33.054000,31.404000,0.000000,1.056615,10.221802, 
0.032083,10.055596,-1.099303,33.091000,31.437000,0.000000,1.056615,10.055596, 
0.032500,9.883579,-1.306822,33.133000,31.475000,0.000000,1.056615,9.883579, 
0.032917,9.707124,-1.517722,33.170000,31.512000,0.000000,1.056615,9.707124, 
0.033333,9.525598,-1.730313,33.212000,31.550000,0.000000,1.056615,9.525598, 
0.033750,9.339845,-1.945863,33.254000,31.583000,0.000000,1.056615,9.339845, 
0.034167,9.149337,-2.163103,33.291000,31.625000,0.000000,1.056615,9.149337, 
0.034583,8.954497,-2.381822,33.333000,31.662000,0.000000,1.056615,8.954497, 
0.035000,8.755537,-2.601915,33.370000,31.704000,0.000000,1.056615,8.755537, 
0.035417,8.553195,-2.823804,33.412000,31.741000,0.000000,1.056615,8.553195, 
0.035833,8.347049,-3.046327,33.450000,31.779000,0.000000,1.056615,8.347049, 
0.036250,8.138156,-3.269907,33.491000,31.816000,0.000000,1.056615,8.138156, 
0.036667,7.925988,-3.493381,33.533000,31.854000,0.000000,1.056615,7.925988, 
0.037083,7.711073,-3.718546,33.570000,31.891000,0.000000,1.056615,7.711073, 
0.037500,7.493410,-3.942760,33.612000,31.929000,0.000000,1.056615,7.493410, 
0.037917,7.273739,-4.166868,33.650000,31.970000,0.000000,1.056615,7.273739, 
